,Latitude,Longitude,Region,Council,Ward,Population
0,-3.3620171,36.6856885,ARUSHA,Arusha,Kiranyi,118
1,-3.3579834,36.6780255,ARUSHA,Arusha,Kiranyi,213
2,-3.385133,36.5491474,ARUSHA,Arusha,Mateves,432
3,-3.3403253,36.7431434,ARUSHA,Arusha,Bangata,414
4,-3.3639833,36.5626783,ARUSHA,Arusha,Mateves,312
5,-3.36329,36.60316,ARUSHA,Arusha,Olorien,402
6,-3.6076467,36.8447191,ARUSHA,Arusha,Bwawani,357
7,-3.3773035,36.5862759,ARUSHA,Arusha,Mateves,556
8,-3.4506519,36.7924085,ARUSHA,Arusha,Mlangarini,67
9,-3.9392741,36.360456,ARUSHA,Arusha,Sokon II,78
10,-3.2983403,36.6267205,ARUSHA,Arusha,Olturumet,712
11,-3.310745,36.645403,ARUSHA,Arusha,Olmotonyi,148
12,-3.3080883,36.6489966,ARUSHA,Arusha,Olmotonyi,1055
13,-3.3227865,36.6515627,ARUSHA,Arusha,Tarakwa,718
14,-3.2379416,36.5442366,ARUSHA,Arusha,Mwandet,1181
15,-3.3722475,36.7538238,ARUSHA,Arusha,Bangata,423
16,-3.3472802,36.6992602,ARUSHA,Arusha,Moivo,173
17,-3.2327941,36.6422835,ARUSHA,Arusha,Lemanyata,971
18,-3.0463618,36.7477283,ARUSHA,Arusha,Oldonyowass,294
19,-3.4320129,36.6517247,ARUSHA,Arusha,Laroi,485
20,-3.3618709,36.6685859,ARUSHA,Arusha,Kiranyi,794
21,-3.3373669,36.5598478,ARUSHA,Arusha,Musa,557
22,-3.3551844,36.6921826,ARUSHA,Arusha,Moivo,215
23,-3.3475766,36.6696166,ARUSHA,Arusha,Kiranyi,280
24,-3.3624253,36.7056632,ARUSHA,Arusha,Kiutu,883
25,-3.346742,36.7242141,ARUSHA,Arusha,Kiutu,495
26,-3.4711334,36.6567329,ARUSHA,Arusha,Laroi,237
27,-3.3394526,36.7407011,ARUSHA,Arusha,Bangata,153
28,-3.3641707,36.7056296,ARUSHA,Arusha,Ilboru,1477
29,-3.3497765,36.6864527,ARUSHA,Arusha,Ilboru,379
30,-3.3567017,36.5261733,ARUSHA,Arusha,Kisongo,495
31,-3.3178416,36.6848933,ARUSHA,Arusha,Ilkiding'a,1415
32,-3.317492,36.965646,ARUSHA,Arusha,Ilkiding'a,873
33,-3.356937,36.676662,ARUSHA,Arusha,Kiranyi,782
34,-3.3622783,36.7075383,ARUSHA,Arusha,Olmotonyi,680
35,-3.2264657,36.6184642,ARUSHA,Arusha,Olkokola,1113
36,-3.2489526,36.5856477,ARUSHA,Arusha,Mwandet,831
37,-3.3179444,36.6455555,ARUSHA,Arusha,Kimnyaki,906
38,-3.3431873,36.6461204,ARUSHA,Arusha,Olorien,619
39,-3.3437167,36.6811666,ARUSHA,Arusha,Olturoto,177
40,-3.1876998,36.6591451,ARUSHA,Arusha,Oldonyosambu,149
41,-3.3732665,36.5763576,ARUSHA,Arusha,Mateves,1060
42,-3.5372021,36.7805231,ARUSHA,Arusha,Bwawani,344
43,-3.3501163,36.6522587,ARUSHA,Arusha,Olorien,762
44,-3.3154126,36.6547614,ARUSHA,Arusha,Kimnyaki,1065
45,-3.3604433,36.6778,ARUSHA,Arusha,Kiranyi,382
46,-3.3641707,36.7056296,ARUSHA,Arusha,Ilkiding'a,1157
47,-3.3587783,36.6683699,ARUSHA,Arusha,Kiranyi,512
48,-3.4368069,36.7069836,ARUSHA,Arusha,Mlangarini,593
49,-3.369725,36.547065,ARUSHA,Arusha,Kisongo,703
50,-3.580214,36.833073,ARUSHA,Arusha,Bwawani,670
51,-3.4958783,36.6267749,ARUSHA,Arusha,Laroi,341
52,-3.26372,36.61808,ARUSHA,Arusha,Lemanyata,845
53,-3.1982275,36.6338513,ARUSHA,Arusha,Oldonyosambu,870
54,-3.4318583,36.5611199,ARUSHA,Arusha,Mateves,638
55,-3.2224733,36.6038033,ARUSHA,Arusha,Olkokola,797
56,-3.3975833,36.5051016,ARUSHA,Arusha,Kisongo,337
57,-3.3373668,36.559877,ARUSHA,Arusha,Musa,459
58,-3.3373667,36.5598467,ARUSHA,Arusha,Musa,173
59,-3.4087917,36.5432633,ARUSHA,Arusha,Kisongo,548
60,-3.3470433,36.7034833,ARUSHA,Arusha,Olturoto,509
61,-3.5391888,36.6506438,ARUSHA,Arusha,Mwandet,895
62,-3.0473625,36.6981183,ARUSHA,Arusha,Oldonyowass,574
63,-3.3833644,36.5864353,ARUSHA,Arusha,Mateves,125
64,-3.2686734,36.6327869,ARUSHA,Arusha,Olturumet,233
65,-3.3022721,36.6375616,ARUSHA,Arusha,Olturumet,170
66,-3.3539155,36.0075363,ARUSHA,Arusha,Nduruma,394
67,-3.4546016,36.8054433,ARUSHA,Arusha,Mlangarini,496
68,-3.4798152,36.8440208,ARUSHA,Arusha,Nduruma,368
69,-3.1548698,36.3745156,ARUSHA,Arusha,Lemanyata,1211
70,-3.5632833,36.6561466,ARUSHA,Arusha,Oljoro,548
71,-3.3500632,36.3739811,ARUSHA,Arusha,Ilboru,237
72,-3.3684617,36.7531625,ARUSHA,Arusha,Bangata,490
73,-3.5679519,36.6531133,ARUSHA,Arusha,Oljoro,784
74,-3.4507334,36.7924392,ARUSHA,Arusha,Mlangarini,574
75,-3.3470433,36.7034833,ARUSHA,Arusha,Moivo,724
76,-3.3540036,36.6156082,ARUSHA,Arusha,Olorien,1407
77,-3.4798152,36.8440208,ARUSHA,Arusha,Nduruma,326
78,-3.5292372,36.833401,ARUSHA,Arusha,Bwawani,560
79,-3.3224154,36.5205957,ARUSHA,Arusha,Musa,564
80,-3.482045,36.7362017,ARUSHA,Arusha,Mlangarini,452
81,-3.5391888,36.6506438,ARUSHA,Arusha,Mwandet,981
82,-3.5046799,36.8059825,ARUSHA,Arusha,Nduruma,556
83,-3.3641707,36.7056296,ARUSHA,Arusha,Sokon II,533
84,-3.1347033,36.7460733,ARUSHA,Arusha,Oldonyowass,506
85,-3.3399363,36.6999421,ARUSHA,Arusha,Kiranyi,673
86,-3.3516817,36.7147611,ARUSHA,Arusha,Kiutu,849
87,-3.4749033,36.7937083,ARUSHA,Arusha,Nduruma,523
88,-3.3438383,36.4704983,ARUSHA,Arusha,Musa,222
89,-3.3436141,36.6469212,ARUSHA,Arusha,Olorien,552
90,-3.3408047,36.6264302,ARUSHA,Arusha,Olturumet,322
91,-3.31586514,36.6382362,ARUSHA,Arusha,Olturumet,996
92,-3.3322759,36.7329216,ARUSHA,Arusha,Sokon II,783
93,-3.3500612,36.3739801,ARUSHA,Arusha,Ilboru,171
94,-3.2233833,36.6046456,ARUSHA,Arusha,Olkokola,725
95,-3.351912,36.6669001,ARUSHA,Arusha,Kiranyi,961
96,-3.2981716,36.5276916,ARUSHA,Arusha,Musa,764
97,-3.363306,36.734878,ARUSHA,Arusha,Sokon II,1121
98,-3.7448033,36.7637083,ARUSHA,Arusha,Nduruma,296
99,-3.1540333,36.6776233,ARUSHA,Arusha,Oldonyosambu,1123
100,-3.3119375,36.6311844,ARUSHA,Arusha,Olturoto,538
101,-3.1548304,36.6864811,ARUSHA,Arusha,Oldonyowass,694
102,-3.5189833,36.6075883,ARUSHA,Arusha,Laroi,310
103,-3.3423317,36.7228777,ARUSHA,Arusha,Kiutu,772
104,-3.5809598,36.6780255,ARUSHA,Arusha,Oljoro,498
105,-3.2317394,36.6112483,ARUSHA,Arusha,Lemanyata,945
106,-3.2910419,36.6493041,ARUSHA,Arusha,Olmotonyi,575
107,-3.3046096,36.6716773,ARUSHA,Arusha,Kimnyaki,1018
108,-3.3222531,36.6331767,ARUSHA,Arusha,Olorien,118
109,-3.5046699,36.8059715,ARUSHA,Arusha,Bwawani,125
110,-3.4079187,36.7623152,ARUSHA,Arusha,Mlangarini,566
111,-3.3451606,36.6477138,ARUSHA,Arusha,Olorien,1168
112,-3.3647191,36.6093081,ARUSHA,Arusha,Olturumet,442
113,-3.33370166,36.6891666,ARUSHA,Arusha,Olturoto,604
114,-3.389213,36.543736,ARUSHA,Arusha,Kisongo,118
115,-3.3125455,36.64241,ARUSHA,Arusha,Olmotonyi,281
116,-3.662546,36.6234615,ARUSHA,Arusha,Olmotonyi,47
117,-3.2965333,36.6700454,ARUSHA,Arusha,Sambasha,972
118,-3.5838,36.7864,ARUSHA,Arusha,Nduruma,184
119,-3.4029702,36.6994847,ARUSHA,Arusha,Laroi,295
120,-3.3656505,36.7619751,ARUSHA,Arusha,Bangata,390
121,-3.3634156,36.7667873,ARUSHA,Arusha,Kisongo,35
122,-3.3574107,36.7166343,ARUSHA,Arusha,Kiutu,935
123,-3.3159938,36.6504252,ARUSHA,Arusha,Kimnyaki,935
124,-3.3605,36.6971,ARUSHA,Arusha,Moivo,335
125,-3.5354545,36.6442353,ARUSHA,Arusha,Oljoro,163
126,-3.5967621,36.6996712,ARUSHA,Arusha,Bwawani,372
127,-3.3082129,36.6378041,ARUSHA,Arusha,Olturumet,233
128,-3.38768,36.7388631,ARUSHA,Arusha,Moivo,67
129,-3.7417673,36.4787644,ARUSHA,Arusha,Kiranyi,529
130,-3.3717041,36.5805175,ARUSHA,Arusha,Kisongo,565
131,-3.3554453,36.6781483,ARUSHA,Arusha,Kiranyi,197
132,-3.179993,36.649904,ARUSHA,Arusha,Kiutu,379
133,-3.5967623,36.6996714,ARUSHA,Arusha,Bwawani,298
134,-3.2980756,36.6700733,ARUSHA,Arusha,Sambasha,1161
135,-3.3541965,36.6522091,ARUSHA,Arusha,Olorien,396
136,-3.7349033,36.7737083,ARUSHA,Arusha,Nduruma,448
137,-3.357785,36.7179266,ARUSHA,Arusha,Sokon II,250
138,-3.5563652,36.6400394,ARUSHA,Arusha,Oljoro,258
139,-3.3874027,36.5539942,ARUSHA,Arusha,Kisongo,466
140,-3.3852664,36.6709666,ARUSHA,Arusha CC,Sombetini,472
141,-3.4179135,36.66439,ARUSHA,Arusha CC,Olasiti,821
142,-3.3634187,36.6580771,ARUSHA,Arusha CC,Elerai,186
143,-3.375285,36.683857,ARUSHA,Arusha CC,Levolosi,161
144,-3.3605817,36.6609211,ARUSHA,Arusha CC,Elerai,103
145,-3.3760433,36.6941067,ARUSHA,Arusha CC,Themi,1498
146,-3.3841364,36.7071053,ARUSHA,Arusha CC,Oloirien,236
147,-3.3641475,36.6622336,ARUSHA,Arusha CC,Elerai,684
148,-3.3887066,36.737565,ARUSHA,Arusha CC,Baraa,2162
149,-3.3995088,36.6700833,ARUSHA,Arusha CC,Sokoni I,261
150,-3.3883282,36.710052,ARUSHA,Arusha CC,Oloirien,196
151,-3.376211,36.729585,ARUSHA,Arusha CC,Baraa,546
152,-3.3648532,36.6614862,ARUSHA,Arusha CC,Elerai,890
153,-3.412956,36.63888,ARUSHA,Arusha CC,Olasiti,1720
154,-3.4052699,36.6662027,ARUSHA,Arusha CC,Sinoni,134
155,-3.3777067,36.6523993,ARUSHA,Arusha CC,Olmoti,3493.5
156,-3.4572736,36.7102387,ARUSHA,Arusha CC,Baraa,665
157,-3.3657887,36.674446,ARUSHA,Arusha CC,Olasiti,504
158,-3.4724237,36.6684748,ARUSHA,Arusha CC,Muriet,658
159,-3.3869259,36.6829952,ARUSHA,Arusha CC,Sokoni I,555
160,-3.386763,36.694123,ARUSHA,Arusha CC,Daraja Ii,1337
161,-3.4190654,36.6615265,ARUSHA,Arusha CC,Sokoni I,359
162,-3.3729361,36.6567847,ARUSHA,Arusha CC,Elerai,1677
163,-3.3881652,36.7319431,ARUSHA,Arusha CC,Baraa,84
164,-3.3885302,36.6963438,ARUSHA,Arusha CC,Daraja Ii,212
165,-3.361385,36.6712933,ARUSHA,Arusha CC,Ngarenaro,3493.5
